codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
81027,81027,81027,81027,81027,INCIDENTE GRAVE,NULL,NULL,SÃO PAULO,SP,BRASIL,SBSP,2022-10-09,16:30:00,SIM,ATIVA,A DEFINIR,NÃO,NULL,0,1,SIM
81030,81030,81030,81030,81030,INCIDENTE,NULL,NULL,VITÓRIA,ES,BRASIL,SBVT,2022-10-09,16:20:00,SIM,ATIVA,A DEFINIR,NÃO,NULL,0,1,NÃO
81023,81023,81023,81023,81023,INCIDENTE GRAVE,NULL,NULL,AMERICANA,SP,BRASIL,SDAI,2022-10-06,15:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
81029,81029,81029,81029,81029,INCIDENTE,NULL,NULL,BELO HORIZONTE,MG,BRASIL,SBBH,2022-10-06,0:44:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
81025,81025,81025,81025,81025,INCIDENTE,NULL,NULL,MANAUS,AM,BRASIL,SBEG,2022-10-05,20:56:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
81019,81019,81019,81019,81019,ACIDENTE,NULL,NULL,PORTO ALEGRE,RS,BRASIL,***,2022-10-03,20:50:00,NÃO,ATIVA,A DEFINIR,NÃO,NULL,0,1,NÃO
81022,81022,81022,81022,81022,INCIDENTE,NULL,NULL,LOBATO,PR,BRASIL,***,2022-10-03,15:38:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
81021,81021,81021,81021,81021,ACIDENTE,NULL,NULL,NOVA BANDEIRANTES,MT,BRASIL,***,2022-10-02,19:00:00,NÃO,ATIVA,A DEFINIR,NÃO,NULL,0,1,SIM
81009,81009,81009,81009,81009,INCIDENTE GRAVE,NULL,NULL,NAVIRAÍ,MS,BRASIL,**NI,2022-10-01,10:10:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
81012,81012,81012,81012,81012,INCIDENTE,NULL,NULL,LINHARES,ES,BRASIL,***,2022-09-30,12:20:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
