codigo_ocorrencia4,recomendacao_numero,recomendacao_dia_assinatura,recomendacao_dia_encaminhamento,recomendacao_dia_feedback,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario,,,,,,,
80258,A-137/CENIPA/2019 - 01,2021-11-16,2021-12-23,2022-01-26,Atuar junto ao operador do Aeródromo de Tangará da Serra (SWTS),,,,,,,,,,
80252,A-094/CENIPA/2021 - 01,2022-09-21,2022-09-27,NULL,Atuar junto ao proprietário da área não cadastrada conhecida como Clube de Aviação Desportiva de Roraima (CADTRR) no sentido de que seja feito o registro do aeródromo.,AGUARDANDO RESPOSTA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
80073,A-063/CENIPA/2021 - 01,2021-12-11,2021-11-19,2021-02-12,Divulgar os ensinamentos colhidos nesta investigação aos operadores de aeronaves experimentais,,,,,,,,,,
80073,A-063/CENIPA/2021 - 02,2021-12-11,2021-11-19,2021-02-12,Divulgar os ensinamentos colhidos nesta investigação aos operadores de aeronaves experimentais,,,,,,,,,,
79997,A-050/CENIPA/2021 - 01,2022-05-08,2022-11-08,NULL,Reforçar a atuação junto à Pulveriza Aviação Agrícola LTDA-ME.,,,,,,,,,,
79983,A-046/CENIPA/2021 - 01,2022-05-08,2022-10-08,NULL,Divulgar os ensinamentos colhidos nesta investigação ao CIAC do Aeroclube de SantoÂngelo,,,,,,,,,,
79864,A-019/CENIPA/2021 - 01,2022-09-21,2022-09-27,NULL,Atuar junto à VOARE Táxi-Aéreo Ltda.,,,,,,,,,,
79748,A-156/CENIPA/2020 - 01,2022-12-04,2022-04-25,NULL,Reforçar a atuação junto à Mercaer Aviação Agrícola Ltda,,,,,,,,,,
79717,A-147/CENIPA/2021 - 01,2022-09-21,2022-09-27,NULL,Atuar junto à G-10 Aviação Agrícola e Manutenção de Aeronaves Ltda. (COA 2013-11-6IHD-02-01),,,,,,,,,,
79713,A-146/CENIPA/2020 - 01,2021-08-07,2021-07-30,2022-05-05,Atuar junto à empresa Plá e Silva Aviação Agrícola Ltda.,,,,,,,,,,
79713,A-146/CENIPA/2020 - 02,2021-08-07,2021-07-30,2022-05-05,Atuar junto à empresa Plá e Silva Aviação Agrícola Ltda.,,,,,,,,,,
79713,A-146/CENIPA/2020 - 03,2021-08-07,2021-07-26,NULL,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79692,A-140/CENIPA/2020 - 01,2021-07-21,2021-08-16,NULL,Atuar junto ao Aeroclube de Catanduva de modo que o seu Manual de Procedimentos e Práticas de Segurança Operacional seja revisado,,,,,,,,,,
79619,A-130/CENIPA/2020 - 01,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79565,A-117/CENIPA/2020 - 01,2021-08-07,2021-07-30,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79536,A-107/CENIPA/2020 - 01,2021-03-29,2021-04-26,2021-10-05,Atuar junto ao operador do aeródromo,,,,,,,,,,
79536,A-107/CENIPA/2020 - 02,2021-03-29,2021-04-26,2021-06-05,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79505,A-101/CENIPA/2020 - 01,2022-09-21,2022-09-27,NULL,Atuar junto ao Aeroclube de Guaratinguetá,,,,,,,,,,
79497,A-098/CENIPA/2020 - 01,2021-08-07,2021-07-27,2022-04-14,Atuar junto à empresa Aeroterra Aviação Agrícola Ltda.,,,,,,,,,,
79497,A-098/CENIPA/2020 - 02,2021-08-07,2021-07-27,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79494,A-038/CENIPA/2019 - 01,2021-08-07,2021-04-08,2022-07-28,Atuar junto à empresa Banalves Aviação Agrícola Ltda.,,,,,,,,,,
79494,A-038/CENIPA/2019 - 02,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79446,A-085/CENIPA/2020 - 01,2022-08-07,2022-07-19,NULL,Atuar junto à Unidade Aérea Pública (UAP) da Polícia Militar do Estado de São Paulo,,,,,,,,,,
79436,A-084/CENIPA/2020 - 01,2022-09-21,2022-09-27,NULL,Atuar junto à empresa TAM Linhas Aéreas S/A (LATAM Brasil),,,,,,,,,,
79436,A-084/CENIPA/2020 - 02,2022-09-21,2022-09-27,NULL,Atuar junto aos operadores de aeronaves tipo A320 para que adotem práticas que garantam a segurança dos passageiros e tripulantes durante descidas em Open Descend/Speed,,,,,,,,,,
79423,A-010/CENIPA/2020 - 01,2021-08-07,2021-07-27,2022-04-28,Atuar junto à empresa Banatec Serviços Aero Agrícolas LTDA.,,,,,,,,,,
