CD_UF;UF;CD_MUN;MUNICIPIO;CAPITAL;REGIAO METROPOLITANA;2010
28;SE;2800308;Aracaju;Sim;ARACAJU;8%
15;PA;1501402;Belem;Sim;BELEM;3%
15;PA;1500800;Ananindeua;Não;BELÉM;21%
15;PA;1501501;Benevides;Não;BELÉM;23%
15;PA;1202400;Castanhal;Não;BELEM;3%
15;PA;1504422;Marituba;Não;BELÉM;21%
15;PA;1506351;Santa Barbara Do Para;Não;BELÉM;17%
15;PA;1206500;Santa Izabel Do Pará;Não;BELEM;7%
31;MG;3105004;Baldim;Não;BELO HORIZONTE;7%
31;MG;3106200;Belo Horizonte;Sim;BELO HORIZONTE;17%
31;MG;3106705;Betim;Não;BELO HORIZONTE;17%
31;MG;3109006;Brumadinho;Não;BELO HORIZONTE;11%
31;MG;3110004;Caeté;Não;BELO HORIZONTE;20%
31;MG;3112505;Capim Branco;Não;BELO HORIZONTE;7%
31;MG;3117876;Confins;Não;BELO HORIZONTE;2%
31;MG;3118601;Contagem;Não;BELO HORIZONTE;19%
31;MG;3124104;Esmeraldas;Não;BELO HORIZONTE;29%
31;MG;3126000;Florestal;Não;BELO HORIZONTE;5%
31;MG;3129806;Ibirité;Não;BELO HORIZONTE;36%
31;MG;3130101;Igarapé;Não;BELO HORIZONTE;14%
31;MG;3132206;Itaguara;Não;BELO HORIZONTE;2%
31;MG;3133709;Itatiaiuçu;Não;BELO HORIZONTE;3%
31;MG;3134608;Jaboticatubas;Não;BELO HORIZONTE;8%
31;MG;3136652;Juatuba;Não;BELO HORIZONTE;9%
31;MG;3137601;Lagoa Santa;Não;BELO HORIZONTE;12%
31;MG;3140159;Mário Campos;Não;BELO HORIZONTE;24%
31;MG;3140704;Mateus Leme;Não;BELO HORIZONTE;5%
31;MG;3141108;Matozinhos;Não;BELO HORIZONTE;7%
31;MG;3144805;Nova Lima;Não;BELO HORIZONTE;17%
31;MG;3136603;Nova União;Não;BELO HORIZONTE;5%
31;MG;3149309;Pedro Leopoldo;Não;BELO HORIZONTE;12%
31;MG;3153905;Raposos;Não;BELO HORIZONTE;29%
31;MG;3154606;Ribeirão Das Neves;Não;BELO HORIZONTE;42%
31;MG;3154804;Rio Acima;Não;BELO HORIZONTE;21%
31;MG;3155306;Rio Manso;Não;BELO HORIZONTE;4%
31;MG;3156700;Sabará;Não;BELO HORIZONTE;23%
31;MG;3157807;Santa Luzia;Não;BELO HORIZONTE;30%
31;MG;3162922;São Joaquim De Bicas;Não;BELO HORIZONTE;11%
31;MG;3162955;São José Da Lapa;Não;BELO HORIZONTE;20%
31;MG;3165537;Sarzedo;Não;BELO HORIZONTE;32%
31;MG;3168309;Taquaraçu De Minas;Não;BELO HORIZONTE;6%
31;MG;3171204;Vespasiano;Não;BELO HORIZONTE;27%
41;PR;4100202;Adrianópolis;Não;CURITIBA;12%
41;PR;4100301;Agudos Do Sul;Não;CURITIBA;6%
41;PR;4100400;Almirante Tamandaré;Não;CURITIBA;25%
41;PR;4101804;Araucária;Não;CURITIBA;16%
41;PR;4102307;Balsa Nova;Não;CURITIBA;7%
41;PR;4103107;Bocaiúva Do Sul;Não;CURITIBA;25%
41;PR;4104006;Campina Grande Do Sul;Não;CURITIBA;14%
41;PR;4104105;Campo Do Tenente;Não;CURITIBA;3%
41;PR;4104204;Campo Largo;Não;CURITIBA;12%
41;PR;4104253;Campo Magro;Não;CURITIBA;25%
41;PR;4105201;Cerro Azul;Não;CURITIBA;4%
41;PR;4105805;Colombo;Não;CURITIBA;21%
