CD_UF;UF;REGIAO METROPOLITANA;2004;2009;2011;2012;2013;2014;2015
33;RJ;RIO DE JANEIRO;18%;22%;22%;27%;29%;29%;26%
35;SP;SAO PAULO;21%;23%;23%;24%;25%;26%;24%
53;DF;DISTRITO FEDERAL E ENT.;8%;12%;10%;11%;16%;17%;19%
26;PE;RECIFE;10%;13%;12%;16%;17%;17%;16%
29;BA;SALVADOR;9%;12%;16%;19%;19%;16%;15%
31;MG;BELO HORIZONTE;14%;13%;16%;16%;16%;15%;14%
23;CE;FORTALEZA;11%;11%;10%;9%;10%;12%;12%
43;RS;PORTO ALEGRE;6%;6%;8%;8%;8%;10%;11%
15;PA;BELEM;5%;13%;10%;11%;17%;13%;10%
41;PR;CURITIBA;9%;11%;11%;12%;12%;11%;10%
