Segment;Country;Product;Discount Band;Units Sold;Manufacturing Price;Sale Price;Gross Sales;Discounts; Sales;COGS;Profit;Date;Month Number;Month Name;Year
Government;Canada;Carretera;None;16185;3;20;32370;0;32370;16185;16185;01/01/2014;1;January;2014
Government;Germany;Carretera;None;1321;3;20;26420;0;26420;13210;13210;01/01/2014;1;January;2014
Midmarket;France;Carretera;None;2178;3;15;32670;0;32670;21780;10890;01/06/2014;6;June;2014
Midmarket;Germany;Carretera;None;888;3;15;13320;0;13320;8880;4440;01/06/2014;6;June;2014
Midmarket;Mexico;Carretera;None;2470;3;15;37050;0;37050;24700;12350;01/06/2014;6;June;2014
Government;Germany;Carretera;None;1513;3;350;529550;0;529550;393380;136170;01/12/2014;12;December;2014
Midmarket;Germany;Montana;None;921;5;15;13815;0;13815;9210;4605;01/03/2014;3;March;2014
Channel Partners;Canada;Montana;None;2518;5;12;30216;0;30216;7554;22662;01/06/2014;6;June;2014
Government;France;Montana;None;1899;5;20;37980;0;37980;18990;18990;01/06/2014;6;June;2014
Channel Partners;Germany;Montana;None;1545;5;12;18540;0;18540;4635;13905;01/06/2014;6;June;2014
Midmarket;Mexico;Montana;None;2470;5;15;37050;0;37050;24700;12350;01/06/2014;6;June;2014
Enterprise;Canada;Montana;None;26655;5;125;3331875;0;3331875;319860;133275;01/07/2014;7;July;2014
Small Business;Mexico;Montana;None;958;5;300;287400;0;287400;239500;47900;01/08/2014;8;August;2014
Government;Germany;Montana;None;2146;5;7;15022;0;15022;10730;4292;01/09/2014;9;September;2014
Enterprise;Canada;Montana;None;345;5;125;43125;0;43125;41400;1725;01/10/2013;10;October;2013
Midmarket;United States of America;Montana;None;615;5;15;9225;0;9225;6150;3075;01/12/2014;12;December;2014
Government;Canada;Paseo;None;292;10;20;5840;0;5840;2920;2920;01/02/2014;2;February;2014
Midmarket;Mexico;Paseo;None;974;10;15;14610;0;14610;9740;4870;01/02/2014;2;February;2014
Channel Partners;Canada;Paseo;None;2518;10;12;30216;0;30216;7554;22662;01/06/2014;6;June;2014
Government;Germany;Paseo;None;1006;10;350;352100;0;352100;261560;90540;01/06/2014;6;June;2014
Channel Partners;Germany;Paseo;None;367;10;12;4404;0;4404;1101;3303;01/07/2014;7;July;2014
Government;Mexico;Paseo;None;883;10;7;6181;0;6181;4415;1766;01/08/2014;8;August;2014
Midmarket;France;Paseo;None;549;10;15;8235;0;8235;5490;2745;01/09/2013;9;September;2013
Small Business;Mexico;Paseo;None;788;10;300;236400;0;236400;197000;39400;01/09/2013;9;September;2013
Midmarket;Mexico;Paseo;None;2472;10;15;37080;0;37080;24720;12360;01/09/2014;9;September;2014
Government;United States of America;Paseo;None;1143;10;7;8001;0;8001;5715;2286;01/10/2014;10;October;2014
Government;Canada;Paseo;None;1725;10;350;603750;0;603750;448500;155250;01/11/2013;11;November;2013
Channel Partners;United States of America;Paseo;None;912;10;12;10944;0;10944;2736;8208;01/11/2013;11;November;2013
Midmarket;Canada;Paseo;None;2152;10;15;32280;0;32280;21520;10760;01/12/2013;12;December;2013
Government;Canada;Paseo;None;1817;10;20;36340;0;36340;18170;18170;01/12/2014;12;December;2014
Government;Germany;Paseo;None;1513;10;350;529550;0;529550;393380;136170;01/12/2014;12;December;2014
Government;Mexico;Velo;None;1493;120;7;10451;0;10451;7465;2986;01/01/2014;1;January;2014
Enterprise;France;Velo;None;1804;120;125;225500;0;225500;216480;9020;01/02/2014;2;February;2014
Channel Partners;Germany;Velo;None;2161;120;12;25932;0;25932;6483;19449;01/03/2014;3;March;2014
Government;Germany;Velo;None;1006;120;350;352100;0;352100;261560;90540;01/06/2014;6;June;2014
Channel Partners;Germany;Velo;None;1545;120;12;18540;0;18540;4635;13905;01/06/2014;6;June;2014
Enterprise;United States of America;Velo;None;2821;120;125;352625;0;352625;338520;14105;01/08/2014;8;August;2014
Enterprise;Canada;Velo;None;345;120;125;43125;0;43125;41400;1725;01/10/2013;10;October;2013
Small Business;Canada;VTT;None;2001;250;300;600300;0;600300;500250;100050;01/02/2014;2;February;2014
Channel Partners;Germany;VTT;None;2838;250;12;34056;0;34056;8514;25542;01/04/2014;4;April;2014
Midmarket;France;VTT;None;2178;250;15;32670;0;32670;21780;10890;01/06/2014;6;June;2014
Midmarket;Germany;VTT;None;888;250;15;13320;0;13320;8880;4440;01/06/2014;6;June;2014
Government;France;VTT;None;1527;250;350;534450;0;534450;397020;137430;01/09/2013;9;September;2013
Small Business;France;VTT;None;2151;250;300;645300;0;645300;537750;107550;01/09/2014;9;September;2014
Government;Canada;VTT;None;1817;250;20;36340;0;36340;18170;18170;01/12/2014;12;December;2014
Government;France;Amarilla;None;2750;260;350;962500;0;962500;715000;247500;01/02/2014;2;February;2014
Channel Partners;United States of America;Amarilla;None;1953;260;12;23436;0;23436;5859;17577;01/04/2014;4;April;2014
Enterprise;Germany;Amarilla;None;42195;260;125;5274375;0;5274375;506340;210975;01/04/2014;4;April;2014
Government;France;Amarilla;None;1899;260;20;37980;0;37980;18990;18990;01/06/2014;6;June;2014
Government;Germany;Amarilla;None;1686;260;7;11802;0;11802;8430;3372;01/07/2014;7;July;2014
Channel Partners;United States of America;Amarilla;None;2141;260;12;25692;0;25692;6423;19269;01/08/2014;8;August;2014
Government;United States of America;Amarilla;None;1143;260;7;8001;0;8001;5715;2286;01/10/2014;10;October;2014
Midmarket;United States of America;Amarilla;None;615;260;15;9225;0;9225;6150;3075;01/12/2014;12;December;2014
Government;France;Paseo;Low;3945;10;7;27615;2,7615E+16;2,73389E+16;19725;7,61385E+16;01/01/2014;1;January;2014
Midmarket;France;Paseo;Low;2296;10;15;34440;3444;3,40956E+16;22960;1,11356E+16;01/02/2014;2;February;2014
Government;France;Paseo;Low;1030;10;7;7210;7,21E+16;71379;5150;1,9879E+16;01/05/2014;5;May;2014
Government;France;Velo;Low;639;120;7;4473;4473;4,42827E+16;3195;1,23327E+16;01/11/2014;11;November;2014
Government;Canada;VTT;Low;1326;250;7;9282;9282;918918;6630;2,55918E+16;01/03/2014;3;March;2014
Channel Partners;United States of America;Carretera;Low;1858;3;12;22296;22296;2,2073E+16;5574;1649904;01/02/2014;2;February;2014
Government;Mexico;Carretera;Low;1210;3;350;423500;4235;419265;314600;104665;01/03/2014;3;March;2014
Government;United States of America;Carretera;Low;2529;3;7;17703;17703;1752597;12645;4,88097E+16;01/07/2014;7;July;2014
Channel Partners;Canada;Carretera;Low;1445;3;12;17340;1734;1,71666E+16;4335;1,28316E+16;01/09/2014;9;September;2014
Enterprise;United States of America;Carretera;Low;330;3;125;41250;4125;408375;39600;12375;01/09/2013;9;September;2013
Channel Partners;France;Carretera;Low;2671;3;12;32052;32052;3173148;8013;2371848;01/09/2014;9;September;2014
Channel Partners;Germany;Carretera;Low;766;3;12;9192;9192;910008;2298;680208;01/10/2013;10;October;2013
Small Business;Mexico;Carretera;Low;494;3;300;148200;1482;146718;123500;23218;01/10/2013;10;October;2013
Government;Mexico;Carretera;Low;1397;3;350;488950;48895;4840605;363220;1208405;01/10/2014;10;October;2014
Government;France;Carretera;Low;2155;3;350;754250;75425;7467075;560300;1864075;01/12/2014;12;December;2014
Midmarket;Mexico;Montana;Low;2214;5;15;33210;3321;328779;22140;1,07379E+16;01/03/2014;3;March;2014
Small Business;United States of America;Montana;Low;2301;5;300;690300;6903;683397;575250;108147;01/04/2014;4;April;2014
Government;France;Montana;Low;13755;5;20;27510;2,751E+16;2,72349E+16;13755;1,34799E+16;01/07/2014;7;July;2014
Government;Canada;Montana;Low;1830;5;7;12810;1281;126819;9150;3,5319E+16;01/08/2014;8;August;2014
Small Business;United States of America;Montana;Low;2498;5;300;749400;7494;741906;624500;117406;01/09/2013;9;September;2013
Enterprise;United States of America;Montana;Low;663;5;125;82875;82875;8204625;79560;248625;01/10/2013;10;October;2013
Midmarket;United States of America;Paseo;Low;1514;10;15;22710;2271;224829;15140;7,3429E+16;01/02/2014;2;February;2014
Government;United States of America;Paseo;Low;44925;10;7;314475;3,14475E+16;3,1133E+16;224625;8,67052E+16;01/04/2014;4;April;2014
