Relatório de vias;;;;;;;;;;;;;;;
2019 - 20201 - 2021;;;;;;;;;;;;;;;
LATITUDE;LONGITUDE;DATA DA MONITORAÇÃO;SENTIDO GEOGRÁFICO;UF;Município;VIA MONITORADA POR CAMERAS;POSSUI COMERCIO AMBILANTE;ZONA;VITIMA FATAL;MEDIA DE VEICULOS;PASSAGEM DE VEICULOS PESADOS;POLICIAMENTO RODOVIARIO;OCORRENCIAS DIARIAS;;
-21,22337913;-41,31045151;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;141;0;1;63;;
-21,23236284;-41,31745979;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Vitima Fatal;98;0;3;19;;
-21,23912931;-41,32415023;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;43;1;3;28;;
-21,2462801;-41,3264437;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;151;0;1;29;;
-21,24838849;-41,3265565;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;157;1;3;50;;
-21,24850723;-41,32655282;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;104;0;1;53;;
-21,25139017;-41,32581923;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;223;1;2;40;;
-21,2561533;-41,3249436;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;130;1;2;15;;
-21,2651798;-41,3275458;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;44;1;1;66;;
-21,2695874;-41,32650755;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;191;1;1;4;;
-21,2738037;-41,3266961;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;47;0;3;35;;
-21,2823587;-41,32020168;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;56;1;2;50;;
-21,28744498;-41,31997403;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;29;1;1;54;;
-21,28896918;-41,31906409;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;102;1;1;52;;
-21,28978609;-41,31886695;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;223;0;3;35;;
-21,2943254;-41,3185458;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;120;1;3;47;;
-21,29476903;-41,31848272;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;231;1;2;40;;
-21,29670143;-41,31848907;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;38;1;1;62;;
-21,30037689;-41,31855011;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;124;0;2;21;;
-21,30467536;-41,31989256;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;130;0;1;53;;
-21,3087504;-41,32570188;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;175;0;2;68;;
-21,30974931;-41,32547457;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;181;0;3;60;;
-21,32042122;-41,32806015;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;230;1;2;58;;
-21,32448006;-41,33085632;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;147;1;3;4;;
-21,33399653;-41,33252107;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;133;1;2;20;;
-21,33919907;-41,33415604;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;82;0;1;15;;
-21,34664726;-41,3355484;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;94;0;2;53;;
-21,35860443;-41,33773041;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;42;0;3;22;;
-21,36275574;-41,33845478;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;77;0;3;67;;
-21,36602892;-41,33795086;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;184;0;1;10;;
-21,37234497;-41,34072113;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;18;1;1;59;;
-21,37428788;-41,34273693;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;106;0;1;36;;
-21,37581742;-41,3435255;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;249;1;2;42;;
-21,37605095;-41,34342726;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;179;1;3;68;;
-21,37637711;-41,34349823;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;46;0;1;49;;
-21,3767375;-41,34348862;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;108;0;1;64;;
-21,37984896;-41,34256259;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;57;1;3;41;;
-21,38002348;-41,34242948;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;249;1;3;37;;
-21,38020425;-41,34228766;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;11;1;1;32;;
-21,38155327;-41,3416047;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;215;0;2;37;;
-21,38229443;-41,34144377;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;28;0;3;65;;
-21,38495028;-41,34142701;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;174;1;2;14;;
-21,3852082;-41,341913;01/01/2019;Sul;RJ;Campos dos Goytacazes;Sim;1;Urbana;Não fatal;17;0;3;25;;
-21,38543324;-41,34208951;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;126;1;3;16;;
-21,38602485;-41,34218439;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;174;1;2;39;;
-21,38578571;-41,34152424;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;184;0;3;58;;
-21,38539047;-41,34151619;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;73;0;3;44;;
-21,38592432;-41,34146523;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;248;0;2;8;;
-21,3853302;-41,34178162;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;147;0;2;54;;
-21,38417;-41,3416803;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;56;0;3;49;;
-21,40132263;-41,34562969;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;223;0;1;67;;
-21,40171783;-41,34574872;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;178;0;2;67;;
-21,40444231;-41,34411659;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;36;1;3;56;;
-21,404663;-41,34368509;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;81;0;3;15;;
-21,40542277;-41,34284221;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;166;1;2;36;;
-21,40561724;-41,34309132;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;76;0;1;19;;
-21,40914542;-41,34399589;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;164;1;3;31;;
-21,4090268;-41,34422287;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;22;1;3;19;;
-21,40913355;-41,3444465;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;112;0;2;36;;
-21,42440605;-41,34641647;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;23;0;2;53;;
-21,42855494;-41,34613898;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;51;0;3;29;;
-21,4296;-41,3451;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;178;1;2;14;;
-21,43140984;-41,34309006;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;82;1;1;3;;
-21,43226919;-41,34252168;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;81;1;2;64;;
-21,43462181;-41,34261322;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;238;0;3;17;;
-21,43500621;-41,34259008;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;201;0;3;42;;
-21,44299134;-41,34290524;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;220;0;3;39;;
-21,44347255;-41,34314395;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;52;1;1;60;;
-21,44316483;-41,34276581;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;167;1;2;18;;
-21,44349939;-41,34293944;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Vitima Fatal;105;1;2;35;;
-21,44349595;-41,34290256;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Vitima Fatal;207;1;1;48;;
-21,44428018;-41,3430256;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Vitima Fatal;55;1;1;25;;
-21,4473347;-41,3431178;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Vitima Fatal;49;0;2;8;;
-21,4468547;-41,34316172;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Vitima Fatal;102;0;1;31;;
-21,44745355;-41,34319659;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Vitima Fatal;111;1;3;43;;
-21,44748688;-41,34321594;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Vitima Fatal;135;0;2;34;;
-21,44774969;-41,34303533;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Vitima Fatal;202;0;1;10;;
-21,44842467;-41,34346146;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Vitima Fatal;73;0;1;55;;
-21,44967461;-41,34323883;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Vitima Fatal;113;0;3;8;;
-21,47229073;-41,33475132;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Rural;Vitima Fatal;104;0;1;67;;
-22,78025149;-42,96674374;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Vitima Fatal;127;0;2;57;;
-21,4811;-41,3393;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Vitima Fatal;34;0;1;29;;
-21,49131625;-41,34209756;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Vitima Fatal;130;0;1;5;;
-21,49781902;-41,34081379;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Vitima Fatal;116;0;3;4;;
-21,49821663;-41,34080887;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;210;1;2;15;;
-21,49969101;-41,34023666;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;127;1;3;62;;
-21,50040227;-41,34014659;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;10;0;2;24;;
-21,5003639;-41,33942809;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;95;0;3;27;;
-21,50050209;-41,33937914;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;42;0;3;12;;
-21,50056076;-41,33992386;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;204;0;1;53;;
-21,50059068;-41,33967821;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;29;0;3;62;;
-21,50073433;-41,3397522;01/01/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;120;1;1;4;;
-21,50069394;-41,33931108;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;182;1;2;6;;
-21,50078877;-41,33928023;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;126;1;3;38;;
-21,50185063;-41,33924369;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;190;0;2;24;;
-21,5020144;-41,33919742;01/01/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;38;0;3;56;;
-21,50267915;-41,3391716;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;59;1;1;35;;
-21,50655964;-41,33755825;01/01/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;237;1;2;7;;
-21,51761723;-41,33361641;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;196;1;1;4;;
-21,5267334;-41,33731842;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;27;0;1;2;;
-21,53038724;-41,33888126;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;38;0;2;65;;
-21,54017305;-41,34212974;09/04/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;180;1;1;8;;
-21,54396055;-41,33971106;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;167;1;1;33;;
-21,54524507;-41,33874949;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;167;1;2;56;;
-21,54605244;-41,33824557;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;107;1;1;68;;
-21,54941662;-41,3351094;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;224;0;2;26;;
-21,55055764;-41,33370426;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;250;1;2;8;;
-21,55094463;-41,33348834;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;240;1;2;57;;
-21,55107394;-41,33358377;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;214;0;2;24;;
-21,55279319;-41,33117326;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;202;1;2;42;;
-21,5527171;-41,33183543;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;105;0;2;27;;
-21,55650864;-41,32750735;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;71;0;3;13;;
-21,55681984;-41,32763073;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;175;0;1;54;;
-21,55705995;-41,32754859;09/04/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;210;0;1;62;;
-21,56140765;-41,32472321;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Rural;Não fatal;142;0;2;36;;
-21,5668706;-41,3236723;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;150;1;1;15;;
-21,5704689;-41,32364655;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;161;0;3;53;;
-21,5776049;-41,3229603;09/04/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;190;1;2;38;;
-21,58078783;-41,32077903;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;79;0;1;60;;
-21,58408885;-41,31859772;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;173;0;3;40;;
-21,58435291;-41,31832749;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;66;0;2;9;;
-21,58608788;-41,31788526;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;17;0;2;21;;
-21,58621913;-41,31783128;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;215;0;3;14;;
-21,58738574;-41,31738804;09/04/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;216;1;1;6;;
-21,58806194;-41,31726231;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;47;0;2;5;;
-21,59077982;-41,31669503;09/04/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Rural;Não fatal;98;0;1;43;;
-21,59533163;-41,31676678;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Rural;Não fatal;106;0;1;16;;
-21,59623069;-41,31649755;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;120;1;2;2;;
-21,59809894;-41,31703902;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;243;0;1;14;;
-21,59832308;-41,31706417;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;214;1;3;67;;
-21,60041013;-41,31720632;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;68;0;2;11;;
-21,60093117;-41,3169899;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;101;1;3;8;;
-21,60117886;-41,31666485;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;117;1;3;13;;
-21,60315895;-41,31711278;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;185;1;3;33;;
-21,60256636;-41,3167299;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;171;1;1;36;;
-21,6028224;-41,3167611;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;48;0;2;16;;
-21,6031097;-41,31673526;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;20;0;2;54;;
-21,60322971;-41,31669704;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;29;1;3;56;;
-21,60352834;-41,31687541;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;125;1;2;6;;
-21,60376338;-41,31709199;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;137;0;3;26;;
-21,60380173;-41,31707382;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;215;1;1;64;;
-21,6038915;-41,31732669;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;162;1;1;67;;
-21,60402835;-41,31726399;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;241;0;1;8;;
-21,60409911;-41,31726366;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;215;1;2;9;;
-21,60421351;-41,31726366;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;198;0;2;3;;
-21,60434443;-41,31726399;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;103;1;3;61;;
-21,60583165;-41,31705713;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;10;1;1;68;;
-21,60649624;-41,31660752;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;196;0;3;8;;
-21,60656856;-41,31698303;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;229;0;2;16;;
-21,60669761;-41,31639261;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;134;0;3;68;;
-21,60691955;-41,31679159;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;74;0;2;37;;
-21,61045407;-41,31588165;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;54;1;2;58;;
-21,61142192;-41,31576631;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;54;1;3;65;;
-21,61179535;-41,31602012;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;158;1;1;59;;
-21,61237335;-41,31595612;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;61;1;1;28;;
-21,6130643;-41,31554168;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;157;0;2;24;;
-21,61368614;-41,31550346;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;181;0;2;19;;
-21,61461751;-41,31529626;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;154;0;3;57;;
-21,61441334;-41,31553262;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;148;1;2;14;;
-21,61528673;-41,3151722;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;211;0;1;68;;
