Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
S;PR;PATO BRANCO;SANTOS & MERLO LTDA.; 79.854.667/0001-01;RUA TOCANTINS;2535;;CENTRO;85501-010;ETANOL;02/06/2022;5,59;;R$ / litro;RODOIL
S;PR;PATO BRANCO;SANTOS & MERLO LTDA.; 79.854.667/0001-01;RUA TOCANTINS;2535;;CENTRO;85501-010;GASOLINA ADITIVADA;02/06/2022;7,08;;R$ / litro;RODOIL
S;PR;PATO BRANCO;SANTOS & MERLO LTDA.; 79.854.667/0001-01;RUA TOCANTINS;2535;;CENTRO;85501-010;GASOLINA;02/06/2022;6,97;;R$ / litro;RODOIL
S;RS;PORTO ALEGRE;COMERCIAL DE COMBUSTIVEIS TK LTDA; 91.438.796/0001-14;RUA EDUARDO PRADO;415;CAVALHADA;CAVALHADA;91751-000;GASOLINA ADITIVADA;01/06/2022;6,99;;R$ / litro;RAIZEN
S;RS;PORTO ALEGRE;COMERCIAL DE COMBUSTIVEIS TK LTDA; 91.438.796/0001-14;RUA EDUARDO PRADO;415;CAVALHADA;CAVALHADA;91751-000;GASOLINA;01/06/2022;6,79;;R$ / litro;RAIZEN
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0005-75;AVENIDA BOULEVARD THAUMATURGO;1031;;CENTRO;69980-000;GASOLINA;01/06/2022;7,97;;R$ / litro;VIBRA ENERGIA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;GASOLINA;01/06/2022;7,97;;R$ / litro;VIBRA ENERGIA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;GASOLINA ADITIVADA;01/06/2022;7,97;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;ETANOL;01/06/2022;6,65;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;GASOLINA;01/06/2022;7,97;;R$ / litro;IPIRANGA
